online_order,book_table,rate,votes,rest_type,cuisines,cost,menu_item,type,city
1,0,3.8,286,27,1761,600.0,8778,2,1
1,0,3.8,160,27,1834,700.0,8778,2,1
1,0,3.8,59,27,1834,750.0,8778,2,1
1,0,3.5,90,27,2344,500.0,8778,2,1
1,0,3.7,51,78,2463,350.0,8778,2,1
1,0,4.0,89,78,2391,200.0,8778,2,1
1,0,3.6,18,78,1321,250.0,8778,2,1
1,0,3.9,40,27,1955,600.0,8778,2,1
1,0,2.5,35,78,1215,200.0,8778,2,1
1,0,3.4,89,78,1939,250.0,8778,2,1
1,0,3.2,11,78,343,150.0,8778,2,1
1,0,3.6,62,81,1491,600.0,8778,2,1
1,0,3.9,33,40,1153,300.0,8778,2,1
1,0,3.8,32,88,1185,250.0,8778,2,1
1,0,4.1,139,27,1951,550.0,8778,2,1
1,0,3.2,154,78,1215,300.0,8778,2,1
1,0,3.6,14,0,263,350.0,8778,2,1
1,0,3.7,237,78,2436,200.0,5484,2,1
1,0,3.9,388,27,490,650.0,8778,2,1
1,0,3.9,128,27,2433,500.0,164,2,1
1,1,4.1,1875,27,1764,1200.0,8778,2,1
1,0,3.8,90,19,557,650.0,8778,2,1
1,0,3.1,7,78,1482,250.0,4294,2,1
1,0,3.7,38,27,2469,400.0,6510,2,1
1,0,4.2,179,39,2236,600.0,8778,2,1
1,0,4.0,43,40,1178,250.0,8778,2,1
1,0,4.3,275,78,2381,100.0,4709,2,1
1,0,3.7,323,27,956,850.0,8778,2,1
1,0,3.1,28,27,2474,400.0,4716,2,1
1,0,3.9,18,78,2447,200.0,8778,2,1
1,0,3.3,6,78,2556,100.0,8778,2,1
1,0,3.700448818,0,40,330,100.0,8778,2,1
1,0,4.3,322,27,2381,400.0,8778,2,1
1,0,2.6,157,19,574,450.0,8778,2,1
1,0,3.9,543,78,2436,300.0,4729,2,1
1,0,3.7,180,19,759,500.0,8778,2,1
1,0,4.2,444,78,2381,100.0,6785,2,1
1,0,3.9,134,78,2578,400.0,7264,2,1
1,0,3.8,577,27,2148,900.0,8778,2,1
1,0,4.2,60,78,2489,200.0,173,2,1
1,0,3.9,144,27,1939,550.0,8778,2,1
1,0,4.1,787,27,922,800.0,8778,2,1
1,0,3.6,16,78,2381,200.0,7875,2,1
1,0,3.6,84,78,2474,250.0,179,2,1
1,0,3.6,95,78,2518,150.0,5670,2,1
1,1,4.0,349,27,2339,1200.0,8778,2,1
1,0,3.7,248,78,2012,400.0,8778,2,1
1,0,4.1,216,19,632,500.0,8778,2,1
1,0,3.700448818,0,27,388,400.0,8778,2,1
1,0,4.0,324,19,719,700.0,8778,2,1
1,0,2.6,231,78,1942,400.0,7701,2,1
1,0,3.4,102,27,2476,400.0,1252,2,1
1,0,3.9,133,19,692,800.0,8778,2,1
1,0,2.8,45,27,2264,800.0,8778,2,1
1,0,3.9,149,78,1264,300.0,8778,2,1
1,0,3.8,75,78,1256,200.0,8778,2,1
1,0,4.0,53,39,1683,600.0,8778,2,1
1,1,4.2,815,27,1834,900.0,8778,2,1
1,1,4.0,633,27,1834,800.0,8778,2,1
1,0,3.5,56,40,1451,400.0,8778,2,1
1,0,3.0,82,78,2489,300.0,6896,2,1
1,0,3.7,35,78,1215,200.0,8778,2,1
1,0,3.6,20,78,1537,150.0,515,2,1
1,0,3.1,14,78,2432,250.0,8778,2,1
1,0,3.9,70,40,1277,400.0,8778,2,1
1,0,3.9,91,19,688,300.0,8778,2,1
1,0,3.6,45,78,388,200.0,8778,2,1
1,0,3.4,7,78,1834,250.0,8778,2,1
1,0,3.8,28,78,1215,150.0,8778,2,1
1,0,3.6,24,27,1834,600.0,8778,2,1
1,0,3.8,36,40,1186,200.0,8778,2,1
1,0,3.5,11,78,1215,200.0,8778,2,1
1,0,3.8,77,19,644,650.0,8778,2,1
1,0,3.2,8,88,1699,100.0,8778,2,1
1,0,3.7,14,78,2381,100.0,511,2,1
1,0,3.8,210,27,1888,600.0,8778,2,1
1,0,4.1,130,19,731,650.0,8778,2,1
1,0,4.1,30,14,382,100.0,8778,2,1
1,0,3.8,144,19,817,700.0,8778,2,1
1,0,3.4,11,8,2130,800.0,8778,2,1
1,0,3.7,133,27,954,700.0,8778,2,1
1,0,4.0,136,78,2436,350.0,2922,2,1
1,0,3.1,4,78,2474,200.0,8778,2,1
1,0,3.5,11,90,1698,200.0,8778,2,1
1,0,3.8,74,78,2474,300.0,8778,2,1
1,0,3.7,30,78,2497,300.0,8778,2,1
1,0,3.0,7,78,2401,200.0,8778,2,1
1,0,3.8,75,26,771,200.0,183,2,1
1,0,3.7,54,19,588,600.0,8778,2,1
1,0,3.6,23,59,339,100.0,8778,2,1
1,0,3.2,119,27,1834,400.0,8778,2,1
1,0,3.7,73,78,429,400.0,8778,2,1
1,0,3.4,58,19,685,400.0,8778,2,1
1,0,3.6,129,27,1656,600.0,8778,2,1
1,0,3.6,24,78,419,250.0,8778,2,1
1,0,3.0,175,78,880,400.0,8778,2,1
1,0,3.7,21,78,2381,300.0,8778,2,1
1,0,3.5,41,58,2254,400.0,8778,2,1
1,0,3.6,35,78,2359,300.0,8778,2,1
1,0,4.1,176,27,95,800.0,8778,2,1
1,0,3.5,45,14,356,300.0,8778,2,1
1,0,3.7,47,82,1275,400.0,8778,2,1
1,1,3.7,36,27,910,650.0,8778,2,1
1,0,3.8,52,17,343,400.0,6933,2,1
1,0,2.7,123,78,1215,200.0,8778,2,1
1,0,3.6,59,27,1761,700.0,8778,2,1
1,0,3.2,4,78,2392,300.0,8778,2,1
1,0,3.8,101,78,429,400.0,8778,2,1
1,0,3.7,54,16,1164,400.0,8778,2,1
1,0,3.700448818,0,78,2381,200.0,8778,2,1
1,0,3.6,22,78,1215,200.0,8778,2,1
1,0,3.1,31,91,2294,250.0,8778,2,1
1,0,3.0,29,19,688,500.0,8778,2,1
1,0,3.4,6,14,330,100.0,8778,2,1
1,0,3.0,22,78,2474,250.0,7870,2,1
1,0,2.9,11,78,1761,500.0,8778,2,1
1,0,3.9,101,78,2381,150.0,8778,2,1
1,1,4.1,442,76,1058,1200.0,8778,2,1
1,0,3.5,155,78,429,400.0,8778,2,1
1,0,3.4,12,17,350,150.0,8778,2,1
1,0,3.6,15,78,2381,100.0,8778,2,1
1,0,3.5,10,78,2381,200.0,8778,2,1
1,0,3.8,25,78,2381,300.0,8778,2,1
1,0,3.8,61,78,1834,300.0,8778,2,1
1,0,3.7,23,78,946,300.0,8778,2,1
1,0,3.8,25,78,2328,350.0,8778,2,1
1,0,3.7,40,78,2482,200.0,4052,2,1
1,0,3.3,4,78,2281,100.0,8778,2,1
1,0,3.4,8,78,1338,150.0,8778,2,1
1,0,3.5,32,78,1834,300.0,8778,2,1
1,0,3.3,10,78,2381,200.0,210,2,1
1,0,3.4,6,78,1321,300.0,8778,2,1
1,0,3.8,53,78,1446,250.0,8778,2,1
1,0,3.7,67,27,1761,700.0,8778,2,1
1,0,2.9,23,88,1686,250.0,3400,2,1
1,0,3.4,19,78,2469,200.0,8778,2,1
1,0,3.6,24,78,1176,300.0,8778,2,1
1,0,4.0,232,78,2410,400.0,8778,2,1
1,0,3.9,221,27,792,700.0,8778,2,1
1,1,4.1,1063,28,1493,1200.0,8778,2,1
1,0,3.7,93,78,2537,200.0,8778,2,1
1,0,3.9,233,27,1515,800.0,8778,2,1
1,0,3.9,211,27,1268,500.0,8778,2,1
1,0,4.0,1778,78,2189,200.0,58,2,1
1,0,3.6,218,27,1951,800.0,8778,2,1
1,0,3.7,514,19,715,600.0,8778,2,1
1,1,4.0,866,27,1976,900.0,8778,2,1
1,0,3.2,96,78,1761,400.0,8778,2,1
1,0,3.5,80,78,2618,250.0,8778,2,1
1,0,4.0,73,0,285,300.0,5268,2,1
1,0,3.9,84,88,1699,400.0,8778,2,1
1,0,3.5,88,78,2477,350.0,8778,2,1
1,0,3.5,179,27,1856,600.0,8778,2,1
1,0,3.8,61,78,1529,100.0,8778,2,1
1,0,3.7,128,27,1869,450.0,8778,2,1
1,0,3.8,339,78,2474,400.0,1241,2,1
1,0,4.1,449,78,2537,100.0,8778,2,1
1,0,4.1,210,42,330,150.0,8778,2,1
1,0,3.7,57,78,1548,200.0,8778,2,1
1,0,3.0,213,78,2160,400.0,8778,2,1
1,0,3.2,208,17,2592,250.0,7122,2,1
1,0,3.8,70,78,2381,100.0,208,2,1
1,0,4.0,219,19,712,600.0,8778,2,1
1,0,3.7,59,78,2211,200.0,8778,2,1
1,0,3.1,10,78,1238,500.0,8778,2,1
1,0,3.0,9,78,1302,400.0,8778,2,1
1,0,3.7,124,27,480,750.0,8778,2,1
1,0,3.7,19,78,2381,100.0,177,2,1
1,0,3.700448818,0,92,1761,300.0,8778,2,1
1,0,3.3,4,78,1425,150.0,8778,2,1
1,0,3.3,4,40,1178,150.0,8778,2,1
1,0,3.8,21,40,1449,200.0,8778,2,1
1,0,3.4,8,79,2389,250.0,120,2,1
1,0,3.5,10,78,1951,400.0,8778,2,1
1,0,3.700448818,0,78,2091,400.0,8778,2,1
1,0,3.5,10,78,1761,400.0,6864,2,1
1,0,3.2,4,78,1721,200.0,8778,2,1
1,0,3.1,4,39,1761,350.0,4831,2,1
1,0,3.700448818,0,78,1722,300.0,8778,2,1
1,0,3.6,16,92,1416,500.0,8778,2,1
1,0,3.700448818,0,92,254,300.0,2863,2,1
1,0,3.4,12,78,1326,300.0,8778,2,1
1,0,3.700448818,0,0,254,150.0,6922,2,1
1,0,3.9,14,27,2136,600.0,7163,2,1
1,0,3.7,0,78,1941,300.0,1152,2,1
1,0,2.8,5,92,2415,199.0,8778,2,1
1,0,3.3,5,28,2477,800.0,8778,2,1
1,0,3.5,15,78,2158,250.0,8778,2,1
1,0,3.4,4,27,2012,500.0,8778,2,1
1,0,3.700448818,0,46,2333,250.0,8778,2,1
1,0,3.6,17,78,839,300.0,8778,2,1
1,0,3.3,6,78,2469,500.0,3229,2,1
1,0,3.4,10,78,2381,100.0,8778,2,1
1,1,4.1,775,27,2091,800.0,8778,2,1
1,1,4.2,2022,27,2136,1000.0,8778,2,1
1,0,3.700448818,0,78,1761,100.0,8778,2,1
1,1,4.2,150,19,719,600.0,2426,2,1
1,0,4.0,232,27,1834,750.0,8778,2,1
1,0,3.9,38,78,792,200.0,8778,2,1
1,1,3.5,431,27,1761,800.0,8778,2,1
1,1,4.2,2115,27,2262,800.0,8778,2,1
1,0,3.4,30,78,1247,200.0,8778,2,1
1,0,4.2,150,27,1761,800.0,2895,2,1
1,0,3.3,12,78,812,200.0,8778,2,1
1,0,3.8,155,27,2489,450.0,8778,2,1
1,0,3.7,33,78,1215,200.0,8778,2,1
1,1,4.1,666,28,65,1000.0,8778,2,1
1,0,3.700448818,0,78,1301,200.0,7124,2,1
1,0,3.9,240,19,557,700.0,8778,2,1
1,0,3.8,918,22,743,800.0,8778,2,1
1,0,4.0,465,27,2489,600.0,4761,2,1
1,1,4.1,970,69,1995,1500.0,8778,2,1
1,0,3.3,128,78,1834,300.0,8778,2,1
1,0,3.6,241,78,1834,300.0,8778,2,1
1,0,3.4,22,78,2381,200.0,8778,2,1
1,0,4.3,734,78,2489,200.0,5501,2,1
1,0,3.8,130,78,1802,400.0,8778,2,1
1,0,4.2,261,19,630,700.0,8778,2,1
1,0,4.0,191,78,2490,300.0,207,2,1
1,0,4.1,364,27,2429,550.0,221,2,1
1,0,3.8,133,78,1661,300.0,8778,2,1
1,0,3.9,888,27,2169,750.0,4751,2,1
1,0,3.1,13,19,615,400.0,8778,2,1
1,0,3.9,750,27,1951,500.0,5838,2,1
1,1,4.2,164,19,615,500.0,8778,2,1
1,0,3.2,6,39,2591,200.0,6573,2,1
1,0,3.8,527,27,1761,500.0,8778,2,1
0,0,4.3,345,40,1449,400.0,8778,3,1
0,0,4.4,356,88,1686,150.0,8778,3,1
1,0,3.7,17,40,1159,400.0,6944,3,1
1,0,3.9,38,40,1442,150.0,3151,3,1
0,0,3.7,78,3,254,150.0,8778,3,1
0,0,3.8,60,40,254,400.0,8778,3,1
1,0,4.0,115,88,1699,400.0,7315,3,1
0,0,3.8,39,0,263,300.0,8778,3,1
1,0,3.9,116,40,1452,400.0,4584,3,1
1,0,3.8,918,22,743,800.0,8778,3,1
0,0,3.7,46,90,1699,400.0,8778,3,1
1,0,3.9,41,40,1153,300.0,8778,3,1
1,0,3.8,144,19,817,700.0,8778,3,1
0,0,3.8,28,16,1535,150.0,8778,3,1
1,0,4.3,860,40,1178,500.0,8778,3,1
0,0,3.5,14,88,1699,200.0,8778,3,1
0,0,4.0,66,0,263,300.0,8778,3,1
1,0,3.2,8,88,1699,100.0,705,3,1
1,0,3.7,54,16,1164,400.0,8778,3,1
0,0,3.5,7,40,1153,500.0,8778,3,1
0,0,3.2,9,40,1442,300.0,8778,3,1
0,0,3.6,42,17,360,300.0,8778,3,1
0,0,3.8,64,78,1222,250.0,8778,3,1
1,0,3.6,14,0,263,350.0,7842,3,1
0,0,3.8,45,92,254,400.0,8778,3,1
0,0,3.2,11,19,578,600.0,8778,3,1
0,0,3.5,13,0,263,300.0,8778,3,1
0,0,3.4,7,40,1449,150.0,8778,3,1
0,0,3.4,8,0,263,400.0,8778,3,1
0,0,3.700448818,0,40,1686,150.0,8778,3,1
0,0,3.700448818,0,0,254,300.0,8778,3,1
0,0,2.9,25,40,1449,200.0,8778,3,1
0,0,3.2,17,40,1178,150.0,8778,3,1
0,0,3.700448818,0,39,263,500.0,8778,3,1
0,0,3.700448818,0,88,1686,300.0,8778,3,1
0,0,3.700448818,0,38,1153,200.0,8778,3,1
1,0,3.9,35,39,263,500.0,2793,3,1
1,0,3.9,70,40,1277,400.0,8778,3,1
0,0,4.0,98,90,1702,400.0,8778,3,1
0,0,3.7,25,40,1449,250.0,8778,3,1
1,0,4.0,219,19,712,600.0,8390,3,1
1,0,4.0,73,0,285,300.0,5268,3,1
0,0,3.6,16,6,297,150.0,8778,3,1
0,0,3.6,8,0,263,250.0,8778,3,1
1,0,3.8,15,0,254,400.0,8778,3,1
0,0,3.6,46,90,1699,200.0,8778,3,1
0,0,3.700448818,0,0,263,300.0,8778,3,1
1,0,3.3,13,47,1185,300.0,7451,3,1
1,0,3.3,9,40,1153,250.0,994,3,1
1,0,4.0,43,40,1178,250.0,1289,3,1
1,0,2.7,97,27,2489,400.0,8778,3,1
0,0,3.700448818,0,40,1442,200.0,8778,3,1
1,0,3.7,22,88,1689,250.0,5839,3,1
0,0,3.5,15,6,254,400.0,8778,3,1
0,0,3.700448818,0,91,1153,350.0,8778,3,1
1,0,3.6,27,40,1215,250.0,4977,3,1
1,0,3.9,888,27,2169,750.0,4750,4,1
1,1,4.0,349,27,2339,1200.0,1990,4,1
1,0,4.2,287,78,1761,350.0,8778,4,1
1,1,4.6,2556,29,2246,600.0,8778,4,1
1,1,4.2,354,27,218,800.0,1066,4,1
1,1,4.1,775,27,2091,800.0,8778,4,1
